"","date"
"199","2014-04-21"
"200","2014-04-28"
"201","2014-05-05"
"202","2014-05-12"
"203","2014-05-27"
"204","2014-06-02"
"205","2014-06-09"
"206","2014-06-16"
"207","2014-06-23"
"208","2014-06-30"
"209","2014-07-07"
"210","2014-07-14"
"211","2014-07-21"
"212","2014-07-28"
"213","2014-08-04"
"214","2014-08-11"
"215","2014-08-18"
"216","2014-09-02"
"217","2014-09-08"
"218","2014-09-15"
"219","2014-09-22"
"220","2014-09-29"
"221","2014-10-06"
"222","2014-10-13"
"223","2014-10-20"
"224","2014-10-27"
"225","2014-11-03"
"226","2014-11-10"
"227","2014-11-17"
"228","2014-11-24"
"229","2014-12-01"
"230","2014-12-08"
"231","2014-12-15"
"232","2014-12-22"
"233","2014-12-29"
"234","2015-01-05"
"235","2015-01-12"
"236","2015-01-26"
"237","2015-02-02"
"238","2015-02-09"
"239","2015-02-23"
"240","2015-03-02"
"241","2015-03-09"
"242","2015-03-16"
"243","2015-03-23"
"244","2015-03-30"
"245","2015-04-06"
"246","2015-04-13"
"247","2015-04-20"
"248","2015-04-27"
"249","2015-05-04"
"250","2015-05-11"
"251","2015-05-18"
"252","2015-06-01"
"253","2015-06-08"
"254","2015-06-15"
"255","2015-06-22"
"256","2015-06-29"
"257","2015-07-06"
"258","2015-07-13"
"259","2015-07-20"
"260","2015-07-27"
"261","2015-08-03"
"262","2015-08-10"
"263","2015-08-17"
"264","2015-08-24"
"265","2015-08-31"
"266","2015-09-14"
"267","2015-09-21"
"268","2015-09-28"
"269","2015-10-05"
"270","2015-10-12"
"271","2015-10-19"
"272","2015-10-26"
"273","2015-11-02"
